éö	Unicode	èoåªêî	JISÉRÅ[Éh(7bit)
‰õ	8306	0	26491
‰ù	8309	0	26493
‰û	82D9	0	26494
‰ü	8335	0	26657
‰†	8334	0	26658
‰°	8316	0	26659
‰£	8331	0	26661
‰§	8340	0	26662
‰•	8339	0	26663
‰¶	8350	0	26664
‰ß	8345	0	26665
‰®	832F	0	26666
‰™	8317	0	26668
‰´	8318	0	26669
‰¨	8385	0	26670
‰≠	839A	0	26671
‰Æ	83AA	0	26672
‰±	8396	0	26675
‰≥	838E	0	26677
‰¥	8387	0	26678
‰µ	838A	0	26679
‰∑	83B5	0	26681
‰∏	8373	0	26682
‰π	8375	0	26683
‰∫	83A0	0	26684
‰ª	8389	0	26685
‰Ω	83F4	0	26687
‰æ	8413	0	26688
‰¿	83CE	0	26690
‰√	83D8	0	26693
‰ƒ	840B	0	26694
‰≈	83C1	0	26695
‰∆	83F7	0	26696
‰»	83E0	0	26698
‰…	83F2	0	26699
‰ 	840D	0	26700
‰À	8422	0	26701
‰Õ	83BD	0	26703
‰Œ	8438	0	26704
‰œ	8506	0	26705
‰–	83FB	0	26706
‰“	842A	0	26708
‰”	843C	0	26709
‰‘	855A	0	26710
‰’	8484	0	26711
‰◊	846B	0	26713
‰ÿ	84AD	0	26714
‰Ÿ	846E	0	26715
‰⁄	8482	0	26716
‰€	8469	0	26717
‰‹	8446	0	26718
‰›	842C	0	26719
‰ﬁ	846F	0	26720
‰ﬂ	8479	0	26721
‰‡	8435	0	26722
‰·	84CA	0	26723
‰‚	8462	0	26724
‰„	84B9	0	26725
‰‰	84BF	0	26726
‰Á	84CD	0	26729
‰È	84DA	0	26731
‰Í	84D0	0	26732
‰Î	84C1	0	26733
‰Ì	84D6	0	26735
‰Ó	84A1	0	26736
‰Ò	84F4	0	26739
‰Û	8518	0	26741
‰Ù	852C	0	26742
‰ı	851F	0	26743
‰ˆ	8515	0	26744
‰˜	8514	0	26745
‰¯	84FC	0	26746
‰˘	8540	0	26747
‰˙	8563	0	26748
‰˚	8558	0	26749
Â@	8541	0	26913
ÂA	8602	0	26914
ÂB	854B	0	26915
ÂC	8555	0	26916
ÂD	8580	0	26917
ÂE	85A4	0	26918
ÂF	8588	0	26919
ÂL	859B	0	26925
ÂO	859C	0	26928
ÂP	8577	0	26929
ÂR	8590	0	26931
ÂT	85BA	0	26933
ÂU	85CF	0	26934
ÂW	85D0	0	26936
ÂX	85D5	0	26937
ÂY	85DD	0	26938
ÂZ	85E5	0	26939
Â[	85DC	0	26940
Â\	85F9	0	26941
Â]	860A	0	26942
Â^	8613	0	26943
Â_	860B	0	26944
Â`	85FE	0	26945
Âc	8622	0	26948
Âd	861A	0	26949
Âe	8630	0	26950
Âf	863F	0	26951
Âg	864D	0	26952
Âh	4E55	0	26953
Âi	8654	0	26954
Âj	865F	0	26955
Âk	8667	0	26956
Âo	86A9	0	26960
Âp	86AA	0	26961
Âq	868B	0	26962
Âr	868C	0	26963
Âs	86B6	0	26964
Âu	86C4	0	26966
Âw	86B0	0	26968
Âz	86AB	0	26971
Â{	86D4	0	26972
Â|	86DE	0	26973
Â}	86E9	0	26974
Â~	86EC	0	26975
ÂÇ	86EF	0	26978
ÂÉ	8712	0	26979
ÂÑ	8706	0	26980
Âá	8703	0	26983
Âà	86FB	0	26984
Âä	8709	0	26986
Âã	870D	0	26987
Âå	86F9	0	26988
Âé	8734	0	26990
Âê	8737	0	26992
Âí	8725	0	26994
Âì	8729	0	26995
Âò	874C	0	27000
Âô	874E	0	27001
Âö	8774	0	27002
Âú	8768	0	27004
Âü	8753	0	27169
Â†	8763	0	27170
Â°	876A	0	27171
Â£	87A2	0	27173
Â§	879F	0	27174
Â•	8782	0	27175
Â¶	87AF	0	27176
Â®	87BD	0	27178
Â™	87D0	0	27180
Â¨	87AB	0	27182
Â≠	87C4	0	27183
ÂÆ	87B3	0	27184
Â∞	87C6	0	27186
Â≤	87EF	0	27188
Â≥	87F2	0	27189
Âµ	880F	0	27191
Â∂	880D	0	27192
Â∑	87FE	0	27193
Â∏	87F6	0	27194
Âπ	87F7	0	27195
Â∫	880E	0	27196
Âº	8811	0	27198
ÂΩ	8816	0	27199
Âæ	8815	0	27200
Â¬	8836	0	27204
Â√	8839	0	27205
Âƒ	8827	0	27206
Â≈	883B	0	27207
Â∆	8844	0	27208
Â«	8842	0	27209
Â…	8859	0	27211
Â 	885E	0	27212
ÂÀ	8862	0	27213
ÂÃ	886B	0	27214
ÂÕ	8881	0	27215
Â–	8875	0	27218
Â—	887D	0	27219
Â“	88B5	0	27220
Â”	8872	0	27221
Â’	8897	0	27223
Â÷	8892	0	27224
Â◊	88AE	0	27225
Âÿ	8899	0	27226
Â‹	88B0	0	27230
Â·	88D4	0	27235
Â‰	88DD	0	27238
ÂÂ	88F9	0	27239
ÂÊ	8902	0	27240
ÂÁ	88FC	0	27241
ÂË	88F4	0	27242
ÂÍ	88F2	0	27244
ÂÌ	890A	0	27247
ÂÔ	8943	0	27249
Â	891E	0	27250
ÂÒ	8925	0	27251
ÂÛ	892B	0	27253
Âˆ	893B	0	27256
Â˜	8936	0	27257
Â˘	894C	0	27259
Â˙	891D	0	27260
Â˚	8960	0	27261
ÊB	896D	0	27427
ÊC	896A	0	27428
ÊG	897E	0	27432
ÊH	8983	0	27433
ÊI	8988	0	27434
ÊK	8993	0	27436
ÊQ	89AF	0	27442
ÊR	89B2	0	27443
ÊS	89BA	0	27444
ÊT	89BD	0	27445
ÊU	89BF	0	27446
ÊV	89C0	0	27447
ÊW	89DA	0	27448
ÊX	89DC	0	27449
ÊY	89DD	0	27450
ÊZ	89E7	0	27451
Ê[	89F4	0	27452
Ê\	89F8	0	27453
Ê^	8A16	0	27455
Ê_	8A10	0	27456
Êd	8A36	0	27461
Êe	8A41	0	27462
Êg	8A52	0	27464
Êh	8A46	0	27465
Êj	8A7C	0	27467
Êm	8A62	0	27470
Êp	8A84	0	27473
Ês	8A91	0	27476
Êv	8A9A	0	27479
Êy	8ACD	0	27482
ÊÄ	8AE4	0	27488
ÊÅ	8AF1	0	27489
ÊÉ	8AE0	0	27491
ÊÜ	8ADE	0	27494
Êà	8B0C	0	27496
Êâ	8B07	0	27497
Êä	8B1A	0	27498
Êã	8AE1	0	27499
Êå	8B16	0	27500
Êç	8B10	0	27501
Êè	8B20	0	27503
Êë	97AB	0	27505
Êí	8B26	0	27506
Êì	8B2B	0	27507
Êî	8B3E	0	27508
Êñ	8B41	0	27510
Êó	8B4C	0	27511
Êò	8B4F	0	27512
Êô	8B4E	0	27513
Êö	8B49	0	27514
Êõ	8B56	0	27515
Êú	8B5B	0	27516
Êü	8B5F	0	27681
Ê°	8B6F	0	27683
Ê£	8B7D	0	27685
Ê§	8B80	0	27686
Ê•	8B8C	0	27687
Ê¶	8B8E	0	27688
Ê®	8B93	0	27690
Ê©	8B96	0	27691
Ê™	8B99	0	27692
Ê¨	8C3A	0	27694
Ê≤	8C50	0	27700
Ê≥	8C55	0	27701
Ê¥	8C62	0	27702
Êµ	8C6C	0	27703
Ê∂	8C78	0	27704
Ê∫	8C85	0	27708
Êª	8C8A	0	27709
Êº	8C8D	0	27710
ÊΩ	8C8E	0	27711
Êæ	8C94	0	27712
Êø	8C7C	0	27713
Ê¿	8C98	0	27714
Ê¡	621D	0	27715
Ê¬	8CAD	0	27716
Êƒ	8CBD	0	27718
Ê≈	8CB2	0	27719
Ê∆	8CB3	0	27720
Ê«	8CAE	0	27721
Ê…	8CC8	0	27723
ÊÃ	8CE3	0	27726
ÊÕ	8CDA	0	27727
Ê–	8CFB	0	27730
Ê”	8D0A	0	27733
Ê‘	8D07	0	27734
Ê÷	8D0D	0	27736
Ê◊	8D10	0	27737
ÊŸ	8D13	0	27739
Ê‹	8D16	0	27742
Êﬂ	8D71	0	27745
Ê‡	8D73	0	27746
Ê„	8DC2	0	27749
ÊÁ	8DDA	0	27753
ÊË	8DD6	0	27754
ÊÓ	8DDF	0	27760
ÊÒ	8E08	0	27763
ÊÚ	8E09	0	27764
ÊÛ	8DFF	0	27765
Êˆ	8E10	0	27768
Ê˜	8E1F	0	27769
Ê˚	8E34	0	27773
Ê¸	8E4A	0	27774
Á@	8E47	0	27937
ÁB	8E4C	0	27939
ÁC	8E50	0	27940
ÁF	8E64	0	27943
ÁI	8E63	0	27946
ÁK	8E76	0	27948
ÁM	8E7C	0	27950
ÁR	8E8B	0	27955
ÁT	8E93	0	27957
ÁV	8E94	0	27959
ÁX	8EAA	0	27961
ÁY	8EA1	0	27962
Á[	8EB0	0	27964
Á\	8EC6	0	27965
Á]	8EB1	0	27966
Á_	8EC5	0	27968
Áb	8EDB	0	27971
Ác	8EE3	0	27972
Ád	8EFC	0	27973
Áf	8EEB	0	27975
Ág	8EFE	0	27976
Áh	8F0A	0	27977
Ái	8F05	0	27978
Áj	8F15	0	27979
Ák	8F12	0	27980
Ál	8F19	0	27981
Ám	8F13	0	27982
Áo	8F1F	0	27984
Ás	8F33	0	27988
Áu	8F39	0	27990
Áv	8F45	0	27991
Áw	8F42	0	27992
Áy	8F4C	0	27994
Áz	8F49	0	27995
Á{	8F46	0	27996
Á|	8F4E	0	27997
Á}	8F57	0	27998
Á~	8F5C	0	27999
ÁÅ	8F63	0	28001
ÁÇ	8F64	0	28002
ÁÉ	8F9C	0	28003
ÁÜ	8FAD	0	28006
Áá	8FAF	0	28007
Áâ	8FDA	0	28009
Áä	8FE5	0	28010
Áã	8FE2	0	28011
Áå	8FEA	0	28012
Áç	8FEF	0	28013
Áé	9087	0	28014
Áè	8FF4	0	28015
Áí	8FFA	0	28018
Áì	9011	0	28019
Áî	9015	0	28020
Áò	9016	0	28024
Áô	900B	0	28025
Áö	9027	0	28026
Áõ	9036	0	28027
Áú	9035	0	28028
Áù	9039	0	28029
Áü	904F	0	28193
Á†	9050	0	28194
Á¢	9052	0	28196
Á£	900E	0	28197
Á§	9049	0	28198
Á•	903E	0	28199
Á¶	9056	0	28200
Áß	9058	0	28201
Á®	905E	0	28202
Á©	9068	0	28203
Á´	9076	0	28205
Á¨	96A8	0	28206
Á≠	9072	0	28207
Á≤	908A	0	28212
Á≥	9089	0	28213
Á¥	908F	0	28214
Áµ	90A8	0	28215
Á∏	90B5	0	28218
Áπ	90E2	0	28219
Áº	90DB	0	28222
ÁΩ	9102	0	28223
Áæ	9112	0	28224
Á¡	9130	0	28227
Á√	9156	0	28229
Áƒ	9158	0	28230
Á»	9173	0	28234
Á…	9172	0	28235
ÁÀ	9189	0	28237
ÁÃ	9182	0	28238
ÁÕ	91A2	0	28239
ÁŒ	91AB	0	28240
Áœ	91AF	0	28241
Á–	91AA	0	28242
Á“	91B4	0	28244
Á”	91BA	0	28245
Á‘	91C0	0	28246
Á’	91C1	0	28247
Á÷	91C9	0	28248
Á◊	91CB	0	28249
ÁŸ	91D6	0	28251
Á⁄	91DF	0	28252
Á€	91E1	0	28253
Á‹	91DB	0	28254
Á›	91FC	0	28255
Áﬁ	91F5	0	28256
Áﬂ	91F6	0	28257
Á‡	921E	0	28258
Á·	91FF	0	28259
Á‚	9214	0	28260
Á„	922C	0	28261
Á‰	9215	0	28262
ÁÂ	9211	0	28263
ÁÁ	9257	0	28265
ÁË	9245	0	28266
ÁÈ	9249	0	28267
ÁÏ	9295	0	28270
ÁÌ	923F	0	28271
ÁÓ	924B	0	28272
ÁÔ	9250	0	28273
ÁÒ	9296	0	28275
ÁÚ	9293	0	28276
ÁÛ	929B	0	28277
ÁÙ	925A	0	28278
Á¯	92E9	0	28282
Á˘	930F	0	28283
Á˚	9344	0	28285
Á¸	932E	0	28286
Ë@	9319	0	28449
ËA	9322	0	28450
ËC	9323	0	28452
ËD	933A	0	28453
ËE	9335	0	28454
ËF	933B	0	28455
ËG	935C	0	28456
ËH	9360	0	28457
ËK	9356	0	28460
ËL	93B0	0	28461
ËM	93AC	0	28462
ËN	93AD	0	28463
ËO	9394	0	28464
ËP	93B9	0	28465
ËR	93D7	0	28467
ËS	93E8	0	28468
ËT	93E5	0	28469
ËU	93D8	0	28470
ËX	93D0	0	28473
ËY	93C8	0	28474
Ë[	941A	0	28476
Ë\	9414	0	28477
Ë]	9413	0	28478
Ë^	9403	0	28479
Ë_	9407	0	28480
Ë`	9410	0	28481
Ëb	942B	0	28483
Ëc	9435	0	28484
Ëd	9421	0	28485
Ëe	943A	0	28486
Ëf	9441	0	28487
Ëg	9452	0	28488
Ëh	9444	0	28489
Ëi	945B	0	28490
Ëj	9460	0	28491
Ëk	9462	0	28492
Ël	945E	0	28493
Ëm	946A	0	28494
Ën	9229	0	28495
Ëo	9470	0	28496
Ër	947D	0	28499
Ës	945A	0	28500
Ët	947C	0	28501
Ëu	947E	0	28502
Ëv	9481	0	28503
Ëy	9587	0	28506
Ëz	958A	0	28507
Ë{	9594	0	28508
Ë|	9596	0	28509
Ë}	9598	0	28510
Ë~	9599	0	28511
ËÄ	95A0	0	28512
ËÇ	95A7	0	28514
Ëä	95C3	0	28522
Ëã	95CD	0	28523
Ëç	95D5	0	28525
Ëé	95D4	0	28526
Ëê	95DC	0	28528
Ëî	9621	0	28532
Ëï	9628	0	28533
Ëñ	962E	0	28534
Ëó	962F	0	28535
Ëò	9642	0	28536
Ëô	964C	0	28537
Ëö	964F	0	28538
Ëú	9677	0	28540
Ëù	965C	0	28541
Ëû	965E	0	28542
Ëü	965D	0	28705
Ë°	9666	0	28707
Ë¢	9672	0	28708
Ë£	966C	0	28709
Ë§	968D	0	28710
Ëß	9697	0	28713
Ë®	96AA	0	28714
Ë™	96B1	0	28716
Ë´	96B2	0	28717
Ë¨	96B0	0	28718
ËÆ	96B6	0	28720
ËØ	96B8	0	28721
Ë∞	96B9	0	28722
Ë±	96CE	0	28723
Ë≤	96CB	0	28724
Ë¥	96CD	0	28726
Ëµ	894D	0	28727
Ë∂	96DC	0	28728
Ë∏	96D5	0	28730
Ëª	9706	0	28733
Ëº	9708	0	28734
ËΩ	9713	0	28735
Ëæ	970E	0	28736
Ë¡	9716	0	28739
Ë√	9724	0	28741
Ëƒ	972A	0	28742
Ë«	973D	0	28745
Ë»	973E	0	28746
ËÀ	9748	0	28749
ËŒ	975C	0	28752
Ë–	9764	0	28754
Ë—	9766	0	28755
Ë‘	976B	0	28758
Ë’	9771	0	28759
Ë÷	9779	0	28760
Ëÿ	977C	0	28762
ËŸ	9781	0	28763
Ë⁄	977A	0	28764
Ëﬁ	9790	0	28768
Ë‡	97A8	0	28770
Ë·	97A6	0	28771
Ë‚	97A3	0	28772
Ë„	97B3	0	28773
Ë‰	97B4	0	28774
ËÂ	97C3	0	28775
ËÊ	97C6	0	28776
ËÁ	97C8	0	28777
ËÍ	97ED	0	28780
ËÎ	9F4F	0	28781
ËÏ	97F2	0	28782
ËÓ	97F6	0	28784
ËÔ	97F5	0	28785
Ë	980F	0	28786
ËÙ	9821	0	28790
Ëˆ	983D	0	28792
Ë¯	984F	0	28794
Ë˘	984B	0	28795
Ë˚	986F	0	28797
ÈA	9874	0	28962
ÈC	98AA	0	28964
ÈH	98C3	0	28969
ÈI	98C6	0	28970
ÈK	98EB	0	28972
ÈL	9903	0	28973
ÈN	9912	0	28975
ÈO	9914	0	28976
ÈP	9918	0	28977
ÈR	991D	0	28979
ÈT	9924	0	28981
ÈU	9920	0	28982
ÈV	992C	0	28983
ÈW	992E	0	28984
ÈX	993D	0	28985
ÈY	993E	0	28986
È^	994B	0	28991
Èb	9955	0	28995
Èd	9998	0	28997
Èg	99AE	0	29000
Èh	99BC	0	29001
Èi	99DF	0	29002
Èj	99DB	0	29003
Èm	99D1	0	29006
Èo	99EE	0	29008
Èq	99F2	0	29010
Èr	99FB	0	29011
Ès	99F8	0	29012
Èu	9A0F	0	29014
Èw	99E2	0	29016
Èy	9A2B	0	29018
Èz	9A37	0	29019
È{	9A45	0	29020
È|	9A42	0	29021
È~	9A43	0	29023
ÈÄ	9A3E	0	29024
ÈÉ	9A5B	0	29027
ÈÑ	9A57	0	29028
ÈÜ	9A62	0	29030
Èá	9A65	0	29031
Èä	9A6B	0	29034
Èã	9A6A	0	29035
Èå	9AAD	0	29036
Èç	9AB0	0	29037
Èè	9AC0	0	29039
Èì	9AD4	0	29043
Èî	9ADE	0	29044
Èï	9ADF	0	29045
Èñ	9AE2	0	29046
Èò	9AE6	0	29048
Èö	9AEB	0	29050
Èõ	9AEE	0	29051
Èü	9AFB	0	29217
È†	9B06	0	29218
È£	9B1F	0	29221
È¶	9B25	0	29224
Èß	9B27	0	29225
È©	9B29	0	29227
È™	9B2A	0	29228
È´	9B2E	0	29229
È¨	9B2F	0	29230
È≠	9B32	0	29231
ÈØ	9B43	0	29233
È∑	9B83	0	29241
Èπ	9B96	0	29243
È∫	9B97	0	29244
Èº	9BA0	0	29246
Èæ	9BB4	0	29248
Èø	9BC0	0	29249
È¬	9BC6	0	29252
È√	9BCF	0	29253
Èƒ	9BD1	0	29254
È∆	9BE3	0	29256
È«	9BE2	0	29257
È»	9BE4	0	29258
È 	9BE1	0	29260
ÈÀ	9C3A	0	29261
ÈÃ	9BF2	0	29262
Èœ	9C15	0	29265
È–	9C14	0	29266
È—	9C09	0	29267
È“	9C13	0	29268
È‘	9C06	0	29270
È÷	9C12	0	29272
È◊	9C0A	0	29273
Èÿ	9C04	0	29274
ÈŸ	9C2E	0	29275
È⁄	9C1B	0	29276
È›	9C21	0	29279
Èﬁ	9C30	0	29280
È‡	9C32	0	29282
È·	9C46	0	29283
È‚	9C3E	0	29284
È‰	9C60	0	29286
ÈÂ	9C67	0	29287
ÈÊ	9C76	0	29288
ÈÁ	9C78	0	29289
ÈË	9CE7	0	29290
ÈÈ	9CEC	0	29291
ÈÏ	9D08	0	29294
ÈÌ	9CEB	0	29295
ÈÔ	9D06	0	29297
È	9D2A	0	29298
ÈÒ	9D26	0	29299
ÈÛ	9D23	0	29301
ÈÙ	9D1F	0	29302
Èı	9D44	0	29303
Èˆ	9D15	0	29304
È¯	9D41	0	29306
È˙	9D3E	0	29308
È˚	9D46	0	29309
È¸	9D48	0	29310
ÍB	9D64	0	29475
ÍC	9D51	0	29476
ÍD	9D50	0	29477
ÍE	9D59	0	29478
ÍH	9D87	0	29481
ÍI	9DAB	0	29482
ÍJ	9D6F	0	29483
ÍK	9D7A	0	29484
ÍM	9DA4	0	29486
ÍN	9DA9	0	29487
ÍO	9DB2	0	29488
ÍP	9DC4	0	29489
ÍQ	9DC1	0	29490
ÍS	9DB8	0	29492
ÍU	9DC6	0	29494
ÍV	9DCF	0	29495
ÍW	9DC2	0	29496
ÍX	9DD9	0	29497
ÍY	9DD3	0	29498
ÍZ	9DF8	0	29499
Í[	9DE6	0	29500
Í\	9DED	0	29501
Í]	9DEF	0	29502
Í^	9DFD	0	29503
Í`	9E1B	0	29505
Ía	9E1E	0	29506
Íb	9E75	0	29507
Íc	9E79	0	29508
Íd	9E7D	0	29509
Íe	9E81	0	29510
Íf	9E88	0	29511
Íg	9E8B	0	29512
Íh	9E8C	0	29513
Íi	9E92	0	29514
Íj	9E95	0	29515
Ík	9E91	0	29516
Íl	9E9D	0	29517
Ím	9EA5	0	29518
Ío	9EB8	0	29520
Íp	9EAA	0	29521
Ís	9ECC	0	29524
Íu	9ECF	0	29526
Ív	9ED0	0	29527
Íw	9ED4	0	29528
Íy	9EDE	0	29530
Í{	9EE0	0	29532
Í}	9EE8	0	29534
ÍÅ	9EF6	0	29537
ÍÇ	9EF7	0	29538
ÍÉ	9EF9	0	29539
ÍÑ	9EFB	0	29540
ÍÖ	9EFC	0	29541
ÍÜ	9EFD	0	29542
Íá	9F07	0	29543
Íâ	76B7	0	29545
Íä	9F15	0	29546
Íã	9F21	0	29547
Íé	9F4A	0	29550
Íè	9F52	0	29551
Íê	9F54	0	29552
Íì	9F60	0	29555
Íî	9F61	0	29556
Íö	9F72	0	29562
Íõ	9F76	0	29563
Íù	9F9C	0	29565
Íû	9FA0	0	29566
Í†	69C7	0	29730
Í¢	7464	0	29732
Í§	7199	0	29734
